,Tranche d'âge,En écoutant la radio ou des podcast,En regardant la TV (replay ou direct),En lisant un journal ou magazine,En vous connectant directement sur un site internet,En utilisant un moteur de recherche,En utilisant un portail d'actualité,En consultant les réseaux sociaux,En consultant les plateformes vidéo en ligne,Mode principal d'information
740,35-44 ans,Jamais,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par semaine,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par semaine,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
741,35-44 ans,Jamais,Jamais,Jamais,Jamais,Au moins une fois par jour,Jamais,Jamais,Jamais,"En utilisant un moteur de recherche (Google, Safari, …)"
742,35-44 ans,Plusieurs fois par jour,Plusieurs fois par jour,Au moins une fois par jour,Moins souvent,Plusieurs fois par jour,Jamais,Plusieurs fois par jour,Au moins une fois par mois,"En écoutant la radio ou des podcasts quel que soit le support (radio, auto-radio, smartphone...)"
743,18-24 ans,Au moins une fois par semaine,Au moins une fois par semaine,Au moins une fois par semaine,Au moins une fois par mois,Au moins une fois par mois,Moins souvent,Au moins une fois par jour,Au moins une fois par mois,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
744,35-44 ans,Au moins une fois par jour,Plusieurs fois par jour,Plusieurs fois par jour,Plusieurs fois par jour,Au moins une fois par jour,Plusieurs fois par jour,Au moins une fois par semaine,Plusieurs fois par jour,"En utilisant un moteur de recherche (Google, Safari, …)"
745,25-34 ans,Plusieurs fois par jour,Plusieurs fois par jour,Plusieurs fois par jour,Plusieurs fois par jour,Plusieurs fois par jour,Plusieurs fois par jour,Plusieurs fois par jour,Plusieurs fois par jour,"En utilisant un portail d'actualité (Google actualité, Portail Orange, …)"
746,25-34 ans,Plusieurs fois par jour,Au moins une fois par jour,Plusieurs fois par jour,Plusieurs fois par jour,Plusieurs fois par jour,Au moins une fois par jour,Plusieurs fois par jour,Plusieurs fois par jour,"En consultant des plateformes de vidéo en ligne (Youtube,Twitch, …)"
747,25-34 ans,Plusieurs fois par jour,Au moins une fois par semaine,Au moins une fois par mois,Moins souvent,Au moins une fois par mois,Au moins une fois par semaine,Au moins une fois par jour,Moins souvent,"En écoutant la radio ou des podcasts quel que soit le support (radio, auto-radio, smartphone...)"
748,45-59 ans,Au moins une fois par jour,Au moins une fois par semaine,Au moins une fois par mois,Plusieurs fois par jour,Plusieurs fois par jour,Plusieurs fois par jour,Plusieurs fois par jour,Au moins une fois par semaine,"En utilisant un moteur de recherche (Google, Safari, …)"
749,45-59 ans,Au moins une fois par semaine,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par mois,Au moins une fois par semaine,Plusieurs fois par jour,Plusieurs fois par jour,Moins souvent,"En utilisant un portail d'actualité (Google actualité, Portail Orange, …)"
750,45-59 ans,Jamais,Au moins une fois par mois,Moins souvent,Jamais,Au moins une fois par semaine,Au moins une fois par jour,Au moins une fois par mois,Moins souvent,"En utilisant un moteur de recherche (Google, Safari, …)"
751,45-59 ans,Au moins une fois par semaine,Au moins une fois par semaine,Moins souvent,Moins souvent,Au moins une fois par jour,Jamais,Au moins une fois par jour,Au moins une fois par semaine,"En consultant des réseaux sociaux (Facebook, X (Twitter), TikTok, LinkedIn ...)"
752,45-59 ans,Au moins une fois par semaine,Au moins une fois par semaine,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par semaine,Au moins une fois par semaine,Jamais,Moins souvent,"En lisant un journal ou un magazine, quel que soit le support (papier, smartphone, ordinateur, tablette)"
753,45-59 ans,Plusieurs fois par jour,Plusieurs fois par jour,Moins souvent,Au moins une fois par semaine,Plusieurs fois par jour,Au moins une fois par mois,Au moins une fois par jour,Au moins une fois par semaine,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
754,70 ans et +,Plusieurs fois par jour,Au moins une fois par jour,Au moins une fois par semaine,Au moins une fois par semaine,Au moins une fois par semaine,Au moins une fois par semaine,Au moins une fois par semaine,Au moins une fois par semaine,"En écoutant la radio ou des podcasts quel que soit le support (radio, auto-radio, smartphone...)"
755,35-44 ans,Au moins une fois par jour,Au moins une fois par semaine,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par semaine,Au moins une fois par semaine,Au moins une fois par jour,Moins souvent,"En vous connectant directement sur le site ou l'application d'un média disponible uniquement sur Internet (Mediapart, H"
756,45-59 ans,Plusieurs fois par jour,Plusieurs fois par jour,Au moins une fois par semaine,Plusieurs fois par jour,Plusieurs fois par jour,Au moins une fois par semaine,Plusieurs fois par jour,Au moins une fois par semaine,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
757,18-24 ans,Au moins une fois par jour,Moins souvent,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par semaine,"En écoutant la radio ou des podcasts quel que soit le support (radio, auto-radio, smartphone...)"
758,45-59 ans,Plusieurs fois par jour,Au moins une fois par mois,Au moins une fois par semaine,Au moins une fois par jour,Plusieurs fois par jour,Au moins une fois par jour,Au moins une fois par mois,Au moins une fois par jour,"En utilisant un moteur de recherche (Google, Safari, …)"
759,70 ans et +,Au moins une fois par jour,Au moins une fois par jour,Plusieurs fois par jour,Au moins une fois par jour,Au moins une fois par jour,Jamais,Jamais,Au moins une fois par jour,"En écoutant la radio ou des podcasts quel que soit le support (radio, auto-radio, smartphone...)"
760,25-34 ans,Au moins une fois par jour,Au moins une fois par jour,Moins souvent,Jamais,Jamais,Jamais,Jamais,Plusieurs fois par jour,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
761,25-34 ans,Jamais,Jamais,Jamais,Au moins une fois par semaine,Au moins une fois par semaine,Au moins une fois par semaine,Moins souvent,Moins souvent,"En utilisant un portail d'actualité (Google actualité, Portail Orange, …)"
762,18-24 ans,Moins souvent,Au moins une fois par semaine,Moins souvent,Moins souvent,Au moins une fois par mois,Au moins une fois par semaine,Plusieurs fois par jour,Plusieurs fois par jour,"En consultant des réseaux sociaux (Facebook, X (Twitter), TikTok, LinkedIn ...)"
763,45-59 ans,Plusieurs fois par jour,Plusieurs fois par jour,Au moins une fois par jour,Jamais,Plusieurs fois par jour,Jamais,Plusieurs fois par jour,Jamais,"En lisant un journal ou un magazine, quel que soit le support (papier, smartphone, ordinateur, tablette)"
764,15-17 ans,Moins souvent,Jamais,Moins souvent,Au moins une fois par mois,Plusieurs fois par jour,Moins souvent,Plusieurs fois par jour,Plusieurs fois par jour,"En consultant des plateformes de vidéo en ligne (Youtube,Twitch, …)"
765,35-44 ans,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par semaine,Au moins une fois par semaine,Au moins une fois par semaine,Au moins une fois par mois,Au moins une fois par semaine,Au moins une fois par semaine,"En écoutant la radio ou des podcasts quel que soit le support (radio, auto-radio, smartphone...)"
766,35-44 ans,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par semaine,"En utilisant un moteur de recherche (Google, Safari, …)"
767,45-59 ans,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par semaine,Au moins une fois par semaine,Moins souvent,Au moins une fois par semaine,Au moins une fois par jour,Au moins une fois par semaine,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
768,60-69 ans,Au moins une fois par semaine,Plusieurs fois par jour,Au moins une fois par semaine,Au moins une fois par mois,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par mois,Au moins une fois par semaine,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
769,45-59 ans,Au moins une fois par jour,Au moins une fois par semaine,Jamais,Jamais,Plusieurs fois par jour,Moins souvent,Plusieurs fois par jour,Moins souvent,"En écoutant la radio ou des podcasts quel que soit le support (radio, auto-radio, smartphone...)"
770,70 ans et +,Moins souvent,Au moins une fois par jour,Au moins une fois par jour,Jamais,Au moins une fois par jour,Au moins une fois par jour,Plusieurs fois par jour,Jamais,"En lisant un journal ou un magazine, quel que soit le support (papier, smartphone, ordinateur, tablette)"
771,70 ans et +,Au moins une fois par jour,Plusieurs fois par jour,Jamais,Moins souvent,Jamais,Jamais,Jamais,Jamais,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
772,25-34 ans,Plusieurs fois par jour,Plusieurs fois par jour,Plusieurs fois par jour,Plusieurs fois par jour,Plusieurs fois par jour,Plusieurs fois par jour,Plusieurs fois par jour,Plusieurs fois par jour,"En utilisant un portail d'actualité (Google actualité, Portail Orange, …)"
773,70 ans et +,Plusieurs fois par jour,Plusieurs fois par jour,Plusieurs fois par jour,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par jour,Jamais,Jamais,"En écoutant la radio ou des podcasts quel que soit le support (radio, auto-radio, smartphone...)"
774,70 ans et +,Moins souvent,Plusieurs fois par jour,Moins souvent,Moins souvent,Au moins une fois par semaine,Plusieurs fois par jour,Au moins une fois par jour,Au moins une fois par mois,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
775,45-59 ans,Au moins une fois par jour,Plusieurs fois par jour,Au moins une fois par semaine,Jamais,Plusieurs fois par jour,Au moins une fois par semaine,Plusieurs fois par jour,Moins souvent,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
776,35-44 ans,Plusieurs fois par jour,Au moins une fois par mois,Jamais,Jamais,Plusieurs fois par jour,Jamais,Plusieurs fois par jour,Au moins une fois par mois,"En consultant des réseaux sociaux (Facebook, X (Twitter), TikTok, LinkedIn ...)"
777,45-59 ans,Au moins une fois par semaine,Plusieurs fois par jour,Au moins une fois par jour,Plusieurs fois par jour,Plusieurs fois par jour,Plusieurs fois par jour,Plusieurs fois par jour,Plusieurs fois par jour,"En consultant des réseaux sociaux (Facebook, X (Twitter), TikTok, LinkedIn ...)"
778,35-44 ans,Au moins une fois par jour,Au moins une fois par jour,Plusieurs fois par jour,Jamais,Plusieurs fois par jour,Plusieurs fois par jour,Plusieurs fois par jour,Moins souvent,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
779,45-59 ans,Au moins une fois par jour,Plusieurs fois par jour,Au moins une fois par jour,Moins souvent,Plusieurs fois par jour,Plusieurs fois par jour,Plusieurs fois par jour,Au moins une fois par semaine,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
780,35-44 ans,Plusieurs fois par jour,Au moins une fois par semaine,Au moins une fois par jour,Au moins une fois par mois,Plusieurs fois par jour,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par semaine,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
781,45-59 ans,Au moins une fois par mois,Au moins une fois par jour,Au moins une fois par mois,Moins souvent,Au moins une fois par jour,Au moins une fois par semaine,Plusieurs fois par jour,Au moins une fois par semaine,"En consultant des réseaux sociaux (Facebook, X (Twitter), TikTok, LinkedIn ...)"
782,15-17 ans,Au moins une fois par jour,Jamais,Moins souvent,Jamais,Moins souvent,Moins souvent,Au moins une fois par jour,Au moins une fois par semaine,"En consultant des réseaux sociaux (Facebook, X (Twitter), TikTok, LinkedIn ...)"
783,45-59 ans,Plusieurs fois par jour,Au moins une fois par jour,Moins souvent,Plusieurs fois par jour,Plusieurs fois par jour,Moins souvent,Plusieurs fois par jour,Au moins une fois par semaine,"En écoutant la radio ou des podcasts quel que soit le support (radio, auto-radio, smartphone...)"
784,25-34 ans,Plusieurs fois par jour,Plusieurs fois par jour,Au moins une fois par jour,Au moins une fois par jour,Plusieurs fois par jour,Au moins une fois par jour,Plusieurs fois par jour,Au moins une fois par jour,"En écoutant la radio ou des podcasts quel que soit le support (radio, auto-radio, smartphone...)"
785,18-24 ans,Jamais,Au moins une fois par jour,Jamais,Jamais,Au moins une fois par jour,Jamais,Plusieurs fois par jour,Au moins une fois par semaine,"En consultant des plateformes de vidéo en ligne (Youtube,Twitch, …)"
786,70 ans et +,Plusieurs fois par jour,Plusieurs fois par jour,Au moins une fois par semaine,Moins souvent,Au moins une fois par jour,Au moins une fois par jour,Jamais,Moins souvent,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
